Date_Year_regrowth,Percent_Hard_Coral_Cover,Date_Year_bleaching,Percent_Bleaching
,,2005,50.2
,,1991,50.7
,,2006,50.9
,,2006,50.9
,,2006,50.9
,,2005,51
,,2005,51.3
,,1998,51.38
,,2005,51.4
,,1998,51.53
,,2006,51.7
,,2005,51.7
,,2005,51.8
,,2006,51.8
,,2005,51.8
,,2005,52
,,2005,52
,,2010,52
,,2005,52
,,2005,52
,,2005,52.1
,,2005,52.2
,,2005,52.2
,,2005,52.4
,,2005,52.4
,,2006,52.4
,,2005,52.4
,,2005,52.6
,,2005,52.6
,,2005,52.6
,,2005,52.6
,,2005,52.8
,,2006,52.9
,,2006,52.9
,,2005,52.9
,,2005,52.9
,,1996,53
,,2005,53
,,2005,53.3
,,2005,53.3
,,2005,53.3
,,2005,53.3
,,1998,53.35
,,2005,53.6
,,2005,53.8
,,2005,53.8
,,2005,53.8
,,2005,53.8
,,2005,53.8
,,2005,53.8
,,2005,53.8
,,2006,53.9
,,2005,53.9
,,2005,54
,,2006,54
,,2005,54.2
,,1998,54.3
,,2005,54.3
,,2005,54.5
,,2005,54.6
,,2009,55
,,1998,55
,,2006,55
,,2005,55
,,2005,55
,,2010,55
,,2010,55
,,2010,55
,,2005,55
,,2006,55
,,2009,55
,,2005,55
,,2005,55
,,2005,55.2
,,2006,55.6
,,2005,55.6
,,2005,55.6
,,2005,55.6
,,2005,55.6
,,2005,55.6
,,2005,55.9
,,1988,56
,,2006,56
,,2006,56
,,2005,56
,,2005,56
,,2005,56.3
,,2005,56.3
,,2005,56.3
,,2005,56.4
,,2005,56.4
,,2010,56.45
,,2005,56.5
,,2005,56.6
,,2005,56.7
,,2005,56.8
,,2005,56.8
,,2005,56.8
,,2005,56.9
,,2005,57.1
,,2006,57.1
,,2005,57.1
,,2005,57.1
,,2006,57.1
,,2005,57.1
,,2005,57.1
,,2005,57.1
,,2005,57.1
,,2006,57.1
,,2005,57.1
,,2005,57.1
,,2005,57.2
,,2006,57.4
,,2008,57.5
,,2005,57.6
,,2005,57.7
,,1998,57.8
,,2005,57.8
,,1998,57.87
,,2006,57.9
,,2005,57.9
,,2005,57.9
,,2005,57.9
,,2010,58
,,2006,58
,,2005,58
,,2005,58
,,2005,58.1
,,2006,58.1
,,2005,58.3
,,2005,58.3
,,2005,58.3
,,2005,58.3
,,2005,58.3
,,2005,58.3
,,2005,58.3
,,2005,58.3
,,2005,58.3
,,2006,58.3
,,2005,58.4
,,2005,58.6
,,2005,58.7
,,2005,58.8
,,2005,58.8
,,2005,58.8
,,2005,58.8
,,2005,58.8
,,2006,59
,,2006,59
,,2005,59.1
,,2005,59.2
,,2005,59.3
,,2006,59.4
,,2005,59.4
,,2006,59.5
,,2005,59.5
,,2005,59.5
,,2005,60
,,2005,60
,,2005,60
,,2005,60
,,2005,60
,,2005,60
,,2005,60
,,2010,60
,,2005,60
,,2005,60
,,2005,60
,,2005,60
,,2000,60
,,2000,60
,,2000,60
,,2000,60
,,2000,60
,,2007,60
,,2010,60
,,1992,60
,,1992,60
,,2005,60
,,2005,60
,,2005,60
,,2006,60
,,2005,60
,,2005,60
,,2005,60
,,2005,60
,,2006,60
,,2006,60
,,2006,60
,,2006,60
,,2005,60
,,2005,60
,,2005,60
,,2006,60
,,2005,60
,,2005,60
,,2010,60
,,2002,60
,,2011,60
,,2005,60
,,2005,60
,,2006,60
,,2005,60
,,2005,60
,,2005,60.4
,,2005,60.5
,,2005,60.9
,,2005,60.9
,,2005,61
,,2005,61
,,2010,61
,,2005,61
,,2007,61.06
,,2005,61.3
,,2005,61.5
,,2006,61.5
,,2005,61.5
,,2006,61.5
,,2005,61.8
,,2005,61.8
,,2005,61.9
,,2005,61.9
,,2005,61.9
,,2006,61.9
,,2005,61.9
,,1993,62
,,2006,62
,,1998,62.05
,,2005,62.3
,,2005,62.5
,,2005,62.5
,,2005,62.5
,,2005,62.5
,,2005,62.5
,,2005,62.5
,,2006,62.5
,,2005,62.5
,,2005,62.5
,,2005,62.5
,,2006,62.5
,,2005,62.5
,,2005,62.5
,,2005,62.5
,,2005,62.6
,,2005,62.7
,,2005,62.7
,,2005,62.8
,,2009,63
,,2009,63
,,2009,63
,,2009,63
,,2009,63
,,2005,63
,,2005,63
,,2005,63
,,1996,63
,,2005,63
,,2005,63
,,2006,63
,,2005,63.2
,,2005,63.2
,,2005,63.3
,,2005,63.4
,,2005,63.6
,,2006,63.6
,,2005,63.6
,,2006,63.6
,,2005,63.6
,,2005,63.6
,,2005,63.6
,,2005,63.8
,,2005,63.8
,,2005,63.8
,,2005,63.9
,,2010,64
,,2005,64
,,2006,64
,,2005,64
,,1998,64.15
,,2006,64.3
,,2006,64.3
,,2005,64.3
,,2005,64.3
,,2005,64.3
,,2005,64.3
,,2005,64.3
,,2005,64.6
,,2005,64.7
,,2005,64.7
,,2005,64.7
,,2006,65
,,2002,65
,,1998,65
,,2005,65
,,2000,65
,,2010,65
,,2005,65
,,2005,65
,,2005,65
,,2005,65.1
,,2005,65.2
,,2006,65.4
,,2007,65.4
,,2005,65.5
,,2005,65.6
,,2005,65.6
,,2006,65.9
,,2010,66
,,2010,66
,,2005,66
,,2005,66.1
,,2005,66.1
,,2005,66.1
,,2005,66.67
,,2005,66.67
,,2006,66.67
,,2006,66.67
,,2004,66.67
,,2005,66.67
,,2005,66.67
,,2005,66.67
,,2006,66.67
,,2005,66.67
,,2005,66.67
,,2005,66.67
,,2004,66.67
,,2005,66.67
,,2006,66.67
,,2006,66.67
,,2004,66.67
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2006,66.7
,,2006,66.7
,,2006,66.7
,,2005,66.7
,,2006,66.7
,,2005,66.7
,,2005,66.7
,,2006,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.7
,,2005,66.8
,,1998,66.95
,,2010,67
,,2005,67
,,2006,67.1
,,2010,67.28
,,2005,67.9
,,2006,68
,,2006,68
,,2005,68
,,2005,68
,,2005,68
,,2005,68
,,2005,68.1
,,2006,68.4
,,2005,68.4
,,2006,68.42
,,2005,68.75
,,2005,68.8
,,2005,68.8
,,2005,68.9
,,2005,68.9
,,2010,69
,,2005,69.1
,,2005,69.2
,,2005,69.2
,,2005,69.23
,,2005,69.23
,,2005,69.4
,,2005,69.4
,,2005,69.4
,,2010,69.49
,,2005,69.6
,,2002,69.94
,,2003,70
,,2005,70
,,2010,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2000,70
,,2007,70
,,1998,70
,,2005,70
,,2004,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,1998,70
,,2010,70
,,2005,70
,,2009,70
,,2005,70
,,2010,70
,,2005,70
,,2005,70
,,2005,70
,,2005,70
,,2006,70.4
,,2005,70.59
,,2005,70.6
,,2005,70.7
,,2006,70.9
,,2005,70.9
,,2005,71
,,2005,71
,,2005,71.1
,,2005,71.4
,,2005,71.4
,,2006,71.4
,,2006,71.4
,,2006,71.4
,,2005,71.4
,,2005,71.4
,,2006,71.43
,,2005,71.43
,,2006,71.43
,,2005,71.6
,,2006,71.6
,,2005,71.6
,,2005,71.7
,,2005,71.7
,,2005,71.88
,,2005,71.9
,,2005,72
,,2005,72
,,2005,72
,,2006,72.2
,,2005,72.2
,,2005,72.2
,,2006,72.22
,,1994,72.38
,,2005,72.4
,,2006,72.5
,,2005,72.6
,,2005,72.7
,,2005,72.7
,,2005,72.7
,,2005,72.7
,,2006,72.7
,,2005,72.7
,,2004,72.73
,,2004,72.73
,,2004,72.73
,,2005,72.73
,,2010,73
,,2005,73
,,2005,73
,,2005,73
,,2006,73.3
,,2006,73.3
,,2005,73.3
,,2006,73.33
,,2006,73.33
,,2005,73.5
,,2005,73.5
,,2005,73.7
,,2005,73.8
,,2005,73.9
,,2005,73.9
,,2005,73.91
,,2005,74
,,2006,74
,,2005,74
,,2005,74.07
,,2005,74.1
,,2005,74.1
,,2005,74.2
,,2005,74.3
,,2005,74.4
,,1994,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2006,75
,,2005,75
,,2009,75
,,2009,75
,,2000,75
,,2010,75
,,2002,75
,,2002,75
,,2004,75
,,2005,75
,,2005,75
,,2006,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2006,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,1998,75
,,2005,75
,,2010,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2011,75
,,2005,75
,,2005,75
,,2005,75
,,2005,75
,,2007,75.5
,,2007,75.5
,,2005,75.8
,,2005,75.9
,,2005,76
,,2005,76
,,2005,76.1
,,2005,76.2
,,2005,76.3
,,2005,76.4
,,2005,76.47
,,1998,76.5
,,2005,76.5
,,2006,76.9
,,2005,76.9
,,2005,76.9
,,2006,76.92
,,2005,77
,,2006,77.27
,,2006,77.3
,,2005,77.5
,,2005,77.5
,,2005,77.5
,,2005,77.78
,,2006,77.78
,,2004,77.78
,,2005,77.78
,,2006,77.8
,,2005,77.8
,,2005,77.8
,,2005,77.8
,,2005,77.8
,,2005,78
,,2005,78
,,2005,78
,,2005,78
,,2005,78.1
,,2005,78.2
,,2005,78.2
,,2005,78.3
,,2005,78.3
,,2005,78.6
,,2005,78.6
,,2005,78.6
,,2005,78.9
,,2005,78.9
,,2010,79
,,2005,79
,,2005,79
,,2005,79.2
,,2005,79.3
,,2005,79.4
,,2005,79.6
,,2005,80
,,1996,80
,,1996,80
,,2005,80
,,2005,80
,,2010,80
,,2010,80
,,2010,80
,,2010,80
,,2005,80
,,2005,80
,,2005,80
,,2000,80
,,2000,80
,,2010,80
,,2007,80
,,2005,80
,,2006,80
,,2005,80
,,2005,80
,,2006,80
,,2005,80
,,2005,80
,,2005,80
,,1998,80
,,2005,80
,,2005,80
,,2011,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80
,,2005,80.1
,,1998,80.49
,,2005,80.7
,,2005,80.8
,,2005,81
,,2005,81
,,2005,81
,,2005,81.1
,,1998,81.8
,,2006,81.8
,,2006,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2005,81.8
,,2004,81.82
,,2006,81.82
,,2006,81.82
,,2005,81.82
,,2007,82
,,2010,82
,,2005,82
,,2010,82
,,2006,82
,,2005,82
,,2002,82.29
,,2005,82.3
,,2005,82.3
,,2006,82.35
,,2006,82.4
,,2005,82.5
,,2005,82.5
,,2005,82.7
,,2005,83
,,2005,83
,,2005,83
,,1998,83.1
,,2006,83.2
,,2005,83.3
,,2006,83.3
,,2005,83.3
,,2006,83.3
,,2005,83.3
,,2005,83.3
,,2006,83.3
,,2005,83.3
,,2005,83.3
,,2005,83.3
2011,1.53,2005,83.3
2013,3.58,2005,83.3
2015,5.5,2005,83.3
2011,3.5,2005,83.33
2013,4.3,2006,83.33
2015,4.5,2006,83.33
2008,27.76,2005,83.33
2011,4.17,2006,83.33
2014,1.62,2000,83.5
2017,26.93,1998,83.85
2006,13.29,2005,83.9
2007,,2005,83.9
2008,11.71,2005,84
2009,,2005,84.1
2012,14.56,2005,84.3
2013,,2006,84.9
2014,14.24,2005,85
2015,,2005,85
2016,13.29,2005,85
2017,,2010,85
2018,13.92,1998,85
2006,,2010,85
