Latitude_Degrees_regrowth,Longitude_Degrees_regrowth,Habitat_Type_regrowth,Turbidity_regrowth,Unnamed: 4,Date_Year_regrowth,Percent_Hard_Coral_Cover_regrowth,Percent_Macroalgal_Cover_regrowth,ClimSST_regrowth,Temperature_Mean_regrowth,Temperature_Minimum_regrowth,Wispeed_regrowth,SSTA_regrowth,SSTA_DHW_regrowth,Latitude_Degrees_bleaching,Longitude_Degrees_bleaching,Turbidity_bleaching,Percent_Cover_bleaching,Date_Year_bleaching,Bleaching_Level,Percent_Bleaching,ClimSST_bleaching,Temperature_Kelvin_bleaching,Wispeed_bleaching,SSTA_bleaching,SSTA_DHW_bleaching,Regrowth_Rate,Resilience_Status
-19.57166667,149.2683333,Deep Lagoon,0.08,,2011,1.53,,,,,,,,17.774,-64.814,0.0352,,2005,,83.3,262.15,302.7,6.0,0.8,12.24,,Non-Resilient
-19.57166667,149.2683333,Deep Lagoon,0.08,,2013,3.58,,,,,,,,17.743,-64.572,0.0345,,2005,,83.3,300.27,301.48,8.0,0.1,4.63,133.98692810457518,Non-Resilient
-19.57166667,149.2683333,Deep Lagoon,0.08,,2015,5.5,,,,,,,,18.295,-64.832,0.0415,,2005,,83.3,301.2,301.44,6.0,-0.42,11.29,53.6312849162011,Non-Resilient
-19.57166667,149.2683333,Deep Lagoon,0.08,,2011,3.5,,,,,,,,20.1004,-87.4638,0.0366,,2005,,83.33,302.04,301.32,4.0,-0.16,1.12,-36.36363636363637,Non-Resilient
-19.57166667,149.2683333,Deep Lagoon,0.08,,2013,4.3,,,,,,,,20.1004,-87.4638,0.0366,,2006,,83.33,302.04,301.52,3.0,0.05,0.0,22.857142857142843,Non-Resilient
-19.57166667,149.2683333,Deep Lagoon,0.08,,2015,4.5,,,,,,,,19.8832,-87.4175,0.0444,,2006,,83.33,301.35,301.16,4.0,0.47,0.0,4.651162790697683,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2008,27.76,,,,,,,,19.9683,-87.4517,0.0447,,2005,,83.33,262.15,301.71,4.0,1.01,0.86,516.8888888888889,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2011,4.17,,,,,,,,19.9321,-87.4342,0.0406,,2006,,83.33,300.07,299.45,5.0,-0.04,0.0,-84.97838616714697,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2014,1.62,,,,,,,,-18.459,178.1,0.0369,,2000,,83.5,300.29,301.53,5.0,0.5,6.9,-61.15107913669065,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2017,26.93,,,,,,,,-18.22,146.73,0.108,,1998,,83.85,298.83,300.63,5.0,0.64,8.47,1562.3456790123455,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2006,13.29,0.0,,,,,,,18.295,-64.868,0.0395,,2005,,83.9,262.15,302.14,6.0,0.26,11.94,-50.649832900111406,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2007,,,,,,,,,25.577,-80.101,0.1536,,2005,,83.9,300.83,302.33,8.0,0.02,1.0,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2008,11.71,0.0,,,,,,,17.637,-64.862,0.0466,,2005,,84.0,301.3,302.0,6.0,0.06,8.92,-11.888638073739644,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2009,,,,,,,,,17.802,-64.639,0.0372,,2005,,84.1,301.19,302.12,6.0,0.29,11.61,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2012,14.56,0.0,,,,,,,17.804,-64.613,0.0396,,2005,,84.3,301.18,302.12,6.0,0.28,9.31,24.338172502134924,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2013,,,,,,,,,17.824,-64.449,0.0359,,2006,,84.9,298.91,299.58,8.0,0.3,0.0,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2014,14.24,0.0,,,,,,,10.175,-75.771,0.0854,,2005,,85.0,302.71,302.57,1.0,-0.36,7.88,-2.197802197802201,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2015,,,,,,,,,10.24,-75.62,0.1349,,2005,,85.0,302.23,302.76,2.0,0.24,6.34,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2016,13.29,0.0,,,,,,,-16.73,177.55,0.0429,,2005,,85.0,301.98,302.16,7.0,0.14,4.45,-6.671348314606751,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2017,,,,,,,,,10.85,72.1833,0.0488,,2010,,85.0,301.21,302.26,6.0,-0.3,2.29,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2018,13.92,0.0,,,,,,,8.8667,78.65,0.1049,,1998,,85.0,302.48,304.02,6.0,0.6,2.28,4.740406320541757,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2006,,,,,,,,,2.22,104.07,0.0988,,2010,,85.0,302.97,303.41,3.0,1.63,9.47,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2007,13.29,0.0,,,,,,,2.29,104.12,0.1068,,2010,,85.0,302.88,303.22,4.0,1.59,10.43,-4.525862068965525,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2008,,,,,,,,,2.79,104.17,0.0542,,2010,,85.0,262.15,302.15,4.0,0.61,6.93,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2009,15.19,0.0,,,,,,,17.623,-63.22,0.0327,,2005,,85.0,301.23,303.26,6.0,1.37,10.66,14.296463506395796,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2012,,,,,,,,,6.921,99.6996,0.2744,,2010,,85.0,262.15,305.58,2.0,1.3,9.4,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2013,16.77,0.0,,,,,,,7.3167,99.25,0.0936,,2010,,85.0,303.42,305.75,3.0,1.82,9.88,10.401579986833443,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2014,,,,,,,,,11.156,-60.85,0.0748,,2005,,85.0,300.32,300.17,6.0,-1.19,4.36,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2015,17.41,0.0,,,,,,,13.073,-59.603,0.0368,,2005,,85.1,301.3,302.47,7.0,0.58,9.08,3.8163387000596405,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2016,,,,,,,,,15.265,-61.27,0.0324,,2005,,85.3,262.15,302.5,7.0,0.79,11.49,0.0,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2017,16.14,0.0,,,,,,,15.225,-61.264,0.0321,,2005,,85.5,300.33,301.69,7.0,0.37,9.31,-7.2946582423894295,Non-Resilient
-19.19833333,146.8151667,Outer Reef Flat,0.22,,2018,,,,,,,,,18.681,-87.711,0.0286,,2006,,85.7,262.15,299.48,6.0,-0.25,0.0,0.0,Non-Resilient
